mapping,owner,gpu_va,bytes,backing_source,lifetime,alignment,permissions,creation,destruction,current_path,target_path
render_shared[0],Windows,0xffffffa000360000,0x4000,render_shared[0] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[1],Windows,0xffffffa000368000,0x4000,render_shared[1] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[2],Windows,0xffffffa000370000,0x4000,render_shared[2] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[3],Windows,0xffffffa000378000,0x4000,render_shared[3] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[4],Windows,0xffffffa000380000,0x4000,render_shared[4] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[5],Windows,0xffffffa000388000,0x4000,render_shared[5] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[6],Windows,0xffffffa000390000,0x4000,render_shared[6] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[7],Windows,0xffffffa000398000,0x4000,render_shared[7] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[8],Windows,0xffffffa0003a0000,0x4000,render_shared[8] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[9],Windows,0xffffffa0003a8000,0x4000,render_shared[9] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[10],Windows,0xffffffa0003b0000,0x4000,render_shared[10] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[11],Windows,0xffffffa0003b8000,0x4000,render_shared[11] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[12],Windows,0xffffffa0003c0000,0x4000,render_shared[12] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[13],Windows,0xffffffa0003c8000,0x4000,render_shared[13] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[14],Windows,0xffffffa0003d0000,0x4000,render_shared[14] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[15],Windows,0xffffffa0003d8000,0x4000,render_shared[15] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[16],Windows,0xffffffa0003e0000,0x4000,render_shared[16] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[17],Windows,0xffffffa0003e8000,0x4000,render_shared[17] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[18],Windows,0xffffffa0003f0000,0x4000,render_shared[18] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
render_shared[19],Windows,0xffffffa0003f8000,0x4000,render_shared[19] DXGK object,start-stop,16384,FirmwareSharedReadWrite AP1 Attr2 OS1,MapPrepared,InitdataMemoryDestroy,direct-owned-context0,retained-broker
